16:30:27.072 [restartedMain] INFO  com.blog.NoteBlogV4Application - Starting NoteBlogV4Application on PC201810110456 with PID 10428 (C:\Users\Administrator\Desktop\git\blog\target\classes started by Administrator in C:\Users\Administrator\Desktop\git\blog) 
16:45:42.294 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/article/edit/tags]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.ArticleController.editPageArticleTags(java.lang.Long) 
16:45:42.294 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/article/edit]}" onto public java.lang.String com.blog.web.management.content.ArticleController.edit(org.springframework.ui.Model,java.lang.Long) 
16:45:42.294 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/article/list],methods=[GET]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBArticle> com.blog.web.management.content.ArticleController.articleList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBArticle>,java.lang.String,java.lang.String) 
16:45:42.294 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/article],methods=[GET]}" onto public java.lang.String com.blog.web.management.content.ArticleController.articleList() 
16:45:42.295 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/article/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.ArticleController.articleCreate(com.blog.model.entity.NBArticle,org.springframework.validation.BindingResult,java.lang.String,java.lang.String) 
16:45:42.295 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/article/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.ArticleController.articleUpdate(com.blog.model.entity.NBArticle,org.springframework.validation.BindingResult,java.lang.String,java.lang.String) 
16:45:42.296 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note/delete/{id}]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.NoteController.delete(java.lang.Long) 
16:45:42.296 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note/update/top/{id}]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.NoteController.top(java.lang.Long,java.lang.Boolean) 
16:45:42.297 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note/update/show/{id}]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.NoteController.show(java.lang.Long,java.lang.Boolean) 
16:45:42.297 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.NoteController.updateNote(com.blog.model.entity.NBNote,org.springframework.validation.BindingResult,java.lang.String) 
16:45:42.297 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note/edit]}" onto public java.lang.String com.blog.web.management.content.NoteController.edit(org.springframework.ui.Model,java.lang.Long) 
16:45:42.297 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note/edit/tags]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.NoteController.editPageNoteTags(java.lang.Long) 
16:45:42.297 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.NoteController.noteCreate(com.blog.model.entity.NBNote,org.springframework.validation.BindingResult,java.lang.String) 
16:45:42.297 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note/post]}" onto public java.lang.String com.blog.web.management.content.NoteController.notePost() 
16:45:42.298 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note],methods=[GET]}" onto public java.lang.String com.blog.web.management.content.NoteController.noteList() 
16:45:42.298 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/note/list],methods=[GET]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBNote> com.blog.web.management.content.NoteController.noteList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBNote>,java.lang.String,java.lang.String) 
16:45:42.299 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cate/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminCateController.update(com.blog.model.entity.NBCate,org.springframework.validation.BindingResult) 
16:45:42.299 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cate/delete]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminCateController.delete(java.lang.Long) 
16:45:42.299 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cate]}" onto public java.lang.String com.blog.web.management.dictionary.AdminCateController.cate() 
16:45:42.299 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cate/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBCate> com.blog.web.management.dictionary.AdminCateController.cateList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBCate>) 
16:45:42.300 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cate/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminCateController.cateCreate(com.blog.model.entity.NBCate) 
16:45:42.301 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cloudFileCate/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminCloudFileCateController.update(com.blog.model.entity.NBCloudFileCate,org.springframework.validation.BindingResult) 
16:45:42.301 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cloudFileCate/delete]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminCloudFileCateController.delete(java.lang.Long) 
16:45:42.301 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cloudFileCate]}" onto public java.lang.String com.blog.web.management.dictionary.AdminCloudFileCateController.cate() 
16:45:42.301 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cloudFileCate/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBCloudFileCate> com.blog.web.management.dictionary.AdminCloudFileCateController.cateList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBCloudFileCate>) 
16:45:42.301 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/cloudFileCate/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminCloudFileCateController.cateCreate(com.blog.model.entity.NBCloudFileCate) 
16:45:42.302 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/keyword/delete]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminKeywordController.delete(java.lang.Long) 
16:45:42.302 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/keyword]}" onto public java.lang.String com.blog.web.management.dictionary.AdminKeywordController.cate() 
16:45:42.303 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/keyword/update/enable]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminKeywordController.enableUpdate(com.blog.model.entity.NBKeyword) 
16:45:42.304 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/keyword/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminKeywordController.keywordCreate(com.blog.model.entity.NBKeyword) 
16:45:42.304 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/keyword/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBKeyword> com.blog.web.management.dictionary.AdminKeywordController.keywordList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBKeyword>) 
16:45:42.305 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/keyword/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminKeywordController.wordsUpdate(com.blog.model.entity.NBKeyword,org.springframework.validation.BindingResult) 
16:45:42.305 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/projectCate/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminProjectCateController.update(com.blog.model.entity.NBProjectCate,org.springframework.validation.BindingResult) 
16:45:42.306 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/projectCate/delete]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminProjectCateController.delete(java.lang.Long) 
16:45:42.306 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/projectCate]}" onto public java.lang.String com.blog.web.management.dictionary.AdminProjectCateController.cate() 
16:45:42.306 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/projectCate/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBProjectCate> com.blog.web.management.dictionary.AdminProjectCateController.cateList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBProjectCate>) 
16:45:42.306 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/projectCate/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminProjectCateController.cateCreate(com.blog.model.entity.NBProjectCate) 
16:45:42.307 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/tag/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminTagController.update(com.blog.model.entity.NBTag,org.springframework.validation.BindingResult) 
16:45:42.307 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/tag/delete]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.dictionary.AdminTagController.delete(java.lang.Long) 
16:45:42.307 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/tag/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBTag> com.blog.web.management.dictionary.AdminTagController.cateList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBTag>,java.lang.String) 
16:45:42.307 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dictionary/tag]}" onto public java.lang.String com.blog.web.management.dictionary.AdminTagController.tagIndex() 
16:45:42.308 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/comment/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.message.AdminCommentController.delete(java.lang.Long,boolean) 
16:45:42.308 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/comment/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBComment> com.blog.web.management.message.AdminCommentController.cateList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBComment>,java.lang.String) 
16:45:42.308 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/comment]}" onto public java.lang.String com.blog.web.management.message.AdminCommentController.tagIndex() 
16:45:42.309 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/message/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.message.AdminMessageController.delete(java.lang.Long,boolean) 
16:45:42.309 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/message/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBMessage> com.blog.web.management.message.AdminMessageController.cateList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBMessage>,java.lang.String) 
16:45:42.309 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/message]}" onto public java.lang.String com.blog.web.management.message.AdminMessageController.tagIndex() 
16:45:42.310 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/profile]}" onto public java.lang.String com.blog.web.management.ProfileController.profile() 
16:45:42.310 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/profile/delete]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.ProfileController.delete(java.lang.Long) 
16:45:42.311 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/profile/edit]}" onto public java.lang.String com.blog.web.management.ProfileController.edit(org.springframework.ui.Model,java.lang.Long) 
16:45:42.311 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/profile/add]}" onto public java.lang.String com.blog.web.management.ProfileController.notePost() 
16:45:42.311 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/profile/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.ProfileController.aboutCreate(com.blog.model.entity.NBAbout) 
16:45:42.311 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/profile/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.ProfileController.profileUpdate(com.blog.model.entity.NBAbout,org.springframework.validation.BindingResult) 
16:45:42.311 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/profile/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBAbout> com.blog.web.management.ProfileController.aboutList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBAbout>) 
16:45:42.312 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/project/add]}" onto public java.lang.String com.blog.web.management.ProjectController.add(org.springframework.ui.Model) 
16:45:42.312 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/project/delete/{id}]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.ProjectController.delete(java.lang.Long) 
16:45:42.313 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/project],methods=[GET]}" onto public java.lang.String com.blog.web.management.ProjectController.list() 
16:45:42.313 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/project/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.ProjectController.projectCreate(com.blog.model.entity.NBProject,org.springframework.validation.BindingResult) 
16:45:42.313 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/project/edit]}" onto public java.lang.String com.blog.web.management.ProjectController.edit(org.springframework.ui.Model,java.lang.Long) 
16:45:42.313 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/project/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.ProjectController.projectUpdate(com.blog.model.entity.NBProject,org.springframework.validation.BindingResult) 
16:45:42.313 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/project/list],methods=[GET]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBProject> com.blog.web.management.ProjectController.projectList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBProject>) 
16:45:42.315 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/settings/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.settings.SettingsController.update(java.lang.String,java.lang.String,java.lang.String) 
16:45:42.315 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/settings/mail/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.settings.SettingsController.updateMailConfig(javax.servlet.http.HttpServletRequest) 
16:45:42.315 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/settings/theme]}" onto public java.lang.String com.blog.web.management.settings.SettingsController.settingTheme(org.springframework.ui.Model) 
16:45:42.315 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/settings/common]}" onto public java.lang.String com.blog.web.management.settings.SettingsController.settingsCommon(org.springframework.ui.Model) 
16:45:42.315 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/settings/mail]}" onto public java.lang.String com.blog.web.management.settings.SettingsController.settingsMail(org.springframework.ui.Model) 
16:45:42.315 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/settings/profile]}" onto public java.lang.String com.blog.web.management.settings.SettingsController.settingsProfile(org.springframework.ui.Model,java.lang.String) 
16:45:42.316 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/settings/qrcode]}" onto public java.lang.String com.blog.web.management.settings.SettingsController.settingsQrcode(org.springframework.ui.Model) 
16:45:42.316 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/settings/profile/update],methods=[POST]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.settings.SettingsController.updateProfile(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String) 
16:45:42.316 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/settings/pay/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.settings.SettingsController.updateQrcode(java.lang.String,java.lang.String,java.lang.String) 
16:45:42.316 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/upload],methods=[POST]}" onto public java.lang.Object com.blog.web.management.upload.UploadController.upload(javax.servlet.http.HttpServletRequest,org.springframework.web.multipart.MultipartFile,java.lang.String) 
16:45:42.317 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/upload/editorMD],methods=[POST]}" onto public java.lang.Object com.blog.web.management.upload.UploadController.uploadEditorMD(org.springframework.web.multipart.MultipartFile) 
16:45:42.360 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
16:45:42.361 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
16:45:42.361 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/static/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
16:45:42.361 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/upfiles/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
16:45:42.439 [restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead. 
16:45:43.860 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729 
16:45:43.910 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup 
16:45:43.911 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure 
16:45:43.912 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'statFilter' has been autodetected for JMX exposure 
16:45:43.919 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.spring.boot.autoconfigure:name=dataSource,type=DruidDataSourceWrapper] 
16:45:43.919 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'statFilter': registering with JMX server as MBean [com.alibaba.druid.filter.stat:name=statFilter,type=StatFilter] 
16:45:43.932 [restartedMain] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing 
16:45:43.938 [restartedMain] INFO  c.b.c.listener.ResourceListener - 「个人博客」APP 正在检测初始化状态，请稍后... 
16:45:44.104 [restartedMain] INFO  c.b.c.listener.ResourceListener - 「个人博客」APP 已初始化，开始准备其它内容，请稍后... 
16:45:44.104 [restartedMain] INFO  c.b.c.listener.ResourceListener - 「个人博客」App 正在启动中，请稍后... 
16:45:44.114 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/registration] 未扫描到@NBAuth，略过处理步骤 
16:45:44.115 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/registration] 未扫描到@NBAuth，略过处理步骤 
16:45:44.115 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/login] 未扫描到@NBAuth，略过处理步骤 
16:45:44.115 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/login] 未扫描到@NBAuth，略过处理步骤 
16:45:44.115 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/api/qq] 未扫描到@NBAuth，略过处理步骤 
16:45:44.115 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/api/qqCallback] 未扫描到@NBAuth，略过处理步骤 
16:45:44.116 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[url = '/management/logout'，请求方式：'[GET]'，媒体类型：'[]'] 扫描到@NBAuth，准备处理... 
16:45:44.117 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/token/logout] 未扫描到@NBAuth，略过处理步骤 
16:45:44.117 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/error] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/error] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/error] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/error] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/error] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/error] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/error] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/file] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/file/list] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/article/comments] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/article/{aId}] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/article] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/article] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/article] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/article/u/{urlSeq}] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/article/approve] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/article] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/a/comments] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/a/{aId}] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/a] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/a] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/a] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/a/u/{urlSeq}] 未扫描到@NBAuth，略过处理步骤 
16:45:44.118 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/a/approve] 未扫描到@NBAuth，略过处理步骤 
16:45:44.119 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/a] 未扫描到@NBAuth，略过处理步骤 
16:45:44.119 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/token/comment] 未扫描到@NBAuth，略过处理步骤 
16:45:44.119 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/token/comment/sub] 未扫描到@NBAuth，略过处理步骤 
16:45:44.119 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/token/comment] 未扫描到@NBAuth，略过处理步骤 
16:45:44.119 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/token/comment] 未扫描到@NBAuth，略过处理步骤 
16:45:44.119 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/token/comment] 未扫描到@NBAuth，略过处理步骤 
16:45:44.120 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/msg] 未扫描到@NBAuth，略过处理步骤 
16:45:44.120 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/msg/lists] 未扫描到@NBAuth，略过处理步骤 
16:45:44.120 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/token/msg/sub] 未扫描到@NBAuth，略过处理步骤 
16:45:44.120 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/] 未扫描到@NBAuth，略过处理步骤 
16:45:44.120 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/] 未扫描到@NBAuth，略过处理步骤 
16:45:44.120 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/] 未扫描到@NBAuth，略过处理步骤 
16:45:44.120 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/] 未扫描到@NBAuth，略过处理步骤 
16:45:44.120 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/note] 未扫描到@NBAuth，略过处理步骤 
16:45:44.120 [restartedMain] INFO  c.b.c.listener.ResourceListener - 资源：[/note/next] 未扫描到@NBAuth，略过处理步骤 
